file,line,function,primitive_calls,total_calls,self_seconds,cumulative_seconds
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/numpy/core/records.py,588,fromarrays,5,5,0.004008737,0.014602460000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexes/multi.py,3954,insert,79,79,0.001304929,0.013171546000000001
~,0,<built-in method builtins.__import__>,2,4,8.67e-06,0.013065716000000002
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexes/range.py,1148,take,384,384,0.004479983,0.013000681
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/dtypes/cast.py,123,maybe_convert_platform,384,384,0.006312782,0.012726816
~,0,<built-in method __new__ of type object at 0x152820bf9720>,2592,2592,0.011892749000000001,0.011910329
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexes/base.py,5449,_can_hold_identifiers_and_holds_name,934,934,0.0020361240000000003,0.01151918
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/dtypes/generic.py,42,_instancecheck,11613,11613,0.00473334,0.011124744
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py,1575,_validate_key,1327,1327,0.0010601410000000001,0.011099729000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py,958,_validate_tuple_indexer,469,469,0.0015616690000000001,0.010904844
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/stats/_distn_infrastructure.py,2216,sf,16,16,0.00224018,0.010834927000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py,4073,__getitem__,88,88,0.00031220200000000003,0.010724868
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py,342,_from_mgr,1241,1241,0.00241049,0.010712268
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/numpy/core/records.py,418,__new__,5,5,7.78e-06,0.010439507
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexers/utils.py,239,maybe_convert_indices,391,391,0.0066236030000000005,0.010342997000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/scipy/sparse/_compressed.py,30,__init__,56,56,0.001016992,0.010061483000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py,4168,_getitem_multilevel,6,6,4.3190000000000005e-05,0.009550949000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/statsmodels/stats/__init__.py,1,<module>,1,1,3.4600000000000003e-06,0.00953241
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py,6258,__finalize__,1268,1268,0.007166685000000001,0.009357027
~,0,<built-in method builtins.len>,15792,20941,0.006856083000000001,0.009237961000000001
<frozen importlib._bootstrap_external>,1066,get_code,23,23,0.000186194,0.009099294
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py,663,_constructor_from_mgr,773,773,0.0013532750000000001,0.009040977
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py,2668,check_bool_indexer,391,391,0.000777621,0.009014320000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/statsmodels/stats/multitest.py,325,fdrcorrection,16,16,0.000983596,0.008718762
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/statsmodels/tools/__init__.py,1,<module>,1,1,8.09e-06,0.008335869000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexing.py,1094,_getitem_nested_tuple,5,5,4.0989000000000003e-05,0.008273820000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/frame.py,698,__init__,49,49,0.001029334,0.00827281
~,0,<built-in method builtins.any>,2459,2459,0.002886758,0.008174228
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/generic.py,281,__init__,1298,1298,0.0070774570000000005,0.008150022
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/managers.py,287,get_dtypes,384,384,0.0014442020000000001,0.007804101000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexes/base.py,2320,is_unique,83,83,0.000566753,0.007779463
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/internals/managers.py,727,_slice_take_blocks_ax0,7,7,0.0005786690000000001,0.007441291
<frozen importlib._bootstrap>,1240,_find_spec,24,24,0.000200074,0.007412481
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py,139,is_object_dtype,1427,1427,0.002246306,0.007269046
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/statsmodels/stats/multitest.py,1,<module>,1,1,2.226e-05,0.0072491560000000005
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexes/multi.py,1194,_engine,80,80,0.0043060450000000005,0.007115832000000001
/home/zsun264/bmi500-venv/lib/python3.12/site-packages/pandas/core/indexes/base.py,5385,__getitem__,676,676,0.006493072000000001,0.007092503000000001
